"mo_id","state_code","county_code","site_number","parameter_code","poc","sample_duration","pollutant_standard_id","pollutant_standard","dv_year","edt_id","design_value","observation_count","observation_percent","dv_validity_indicator","si_id","latitude","longitude","state_name","county_name","city_name","address","local_site_name","cbsa_name","epa_region","tribal_code","tribe_name","select_date"
"6874","04","013","3002","42602","6","1 HOUR","8","NO2 Annual 1971","2016","0","17.340047","8590","98","Y","595","33.45797","-112.04659","Arizona","Maricopa","Phoenix","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","CENTRAL PHOENIX","Phoenix-Mesa-Scottsdale, AZ","09",,,"2016-01-01 00:00:00"
"6874","04","013","3002","42602","6","1 HOUR","8","NO2 Annual 1971","2017","0","18.24213","8640","99","Y","595","33.45797","-112.04659","Arizona","Maricopa","Phoenix","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","CENTRAL PHOENIX","Phoenix-Mesa-Scottsdale, AZ","09",,,"2017-01-01 00:00:00"
"6874","04","013","3002","42602","6","1 HOUR","8","NO2 Annual 1971","2018","0","17.534798","8650","99","Y","595","33.45797","-112.04659","Arizona","Maricopa","Phoenix","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","CENTRAL PHOENIX","Phoenix-Mesa-Scottsdale, AZ","09",,,"2018-01-01 00:00:00"
"6874","04","013","3002","42602","6","1 HOUR","8","NO2 Annual 1971","2019","0","15.713967","8527","97","Y","595","33.45797","-112.04659","Arizona","Maricopa","Phoenix","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","CENTRAL PHOENIX","Phoenix-Mesa-Scottsdale, AZ","09",,,"2019-01-01 00:00:00"
"6874","04","013","3002","42602","6","1 HOUR","8","NO2 Annual 1971","2020","0","15.925187","8421","96","Y","595","33.45797","-112.04659","Arizona","Maricopa","Phoenix","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","CENTRAL PHOENIX","Phoenix-Mesa-Scottsdale, AZ","09",,,"2020-01-01 00:00:00"
"6874","04","013","3002","42602","6","1 HOUR","8","NO2 Annual 1971","2021","0","15.43955","8627","98","Y","595","33.45797","-112.04659","Arizona","Maricopa","Phoenix","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","CENTRAL PHOENIX","Phoenix-Mesa-Scottsdale, AZ","09",,,"2021-01-01 00:00:00"
"6874","04","013","3002","42602","6","1 HOUR","8","NO2 Annual 1971","2022","0","14.909199","8414","96","Y","595","33.45797","-112.04659","Arizona","Maricopa","Phoenix","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","CENTRAL PHOENIX","Phoenix-Mesa-Scottsdale, AZ","09",,,"2022-01-01 00:00:00"
"6874","04","013","3002","42602","6","1 HOUR","8","NO2 Annual 1971","2023","0","14.122001","7877","90","Y","595","33.45797","-112.04659","Arizona","Maricopa","Phoenix","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","CENTRAL PHOENIX","Phoenix-Mesa-Scottsdale, AZ","09",,,"2023-01-01 00:00:00"
"6937","04","013","3010","42602","1","1 HOUR","8","NO2 Annual 1971","2014","0","24.550238","8609","98","Y","602","33.46093","-112.11748","Arizona","Maricopa","Phoenix","1128 N.  27TH AVE-GREENWOOD STATION","GREENWOOD","Phoenix-Mesa-Scottsdale, AZ","09",,,"2014-01-01 00:00:00"
"6937","04","013","3010","42602","1","1 HOUR","8","NO2 Annual 1971","2015","0","21.905541","8501","97","Y","602","33.46093","-112.11748","Arizona","Maricopa","Phoenix","1128 N.  27TH AVE-GREENWOOD STATION","GREENWOOD","Phoenix-Mesa-Scottsdale, AZ","09",,,"2015-01-01 00:00:00"
"6937","04","013","3010","42602","1","1 HOUR","8","NO2 Annual 1971","2016","0","22.070013","3985","45","N","602","33.46093","-112.11748","Arizona","Maricopa","Phoenix","1128 N.  27TH AVE-GREENWOOD STATION","GREENWOOD","Phoenix-Mesa-Scottsdale, AZ","09",,,"2016-01-01 00:00:00"
"734905","04","013","4011","42602","1","1 HOUR","8","NO2 Annual 1971","2014","0","8.650405","8650","99","Y","92016","33.36985","-112.62068","Arizona","Maricopa","Buckeye","26453 W. MC85","BUCKEYE","Phoenix-Mesa-Scottsdale, AZ","09",,,"2014-01-01 00:00:00"
"734905","04","013","4011","42602","1","1 HOUR","8","NO2 Annual 1971","2015","0","7.135642","8633","99","Y","92016","33.36985","-112.62068","Arizona","Maricopa","Buckeye","26453 W. MC85","BUCKEYE","Phoenix-Mesa-Scottsdale, AZ","09",,,"2015-01-01 00:00:00"
"734905","04","013","4011","42602","1","1 HOUR","8","NO2 Annual 1971","2016","0","6.895066","8634","98","Y","92016","33.36985","-112.62068","Arizona","Maricopa","Buckeye","26453 W. MC85","BUCKEYE","Phoenix-Mesa-Scottsdale, AZ","09",,,"2016-01-01 00:00:00"
"734905","04","013","4011","42602","1","1 HOUR","8","NO2 Annual 1971","2017","0","7.712692","7887","90","Y","92016","33.36985","-112.62068","Arizona","Maricopa","Buckeye","26453 W. MC85","BUCKEYE","Phoenix-Mesa-Scottsdale, AZ","09",,,"2017-01-01 00:00:00"
"734905","04","013","4011","42602","1","1 HOUR","8","NO2 Annual 1971","2018","0","7.673777","8626","98","Y","92016","33.36985","-112.62068","Arizona","Maricopa","Buckeye","26453 W. MC85","BUCKEYE","Phoenix-Mesa-Scottsdale, AZ","09",,,"2018-01-01 00:00:00"
"734905","04","013","4011","42602","1","1 HOUR","8","NO2 Annual 1971","2019","0","7.091843","8667","99","Y","92016","33.36985","-112.62068","Arizona","Maricopa","Buckeye","26453 W. MC85","BUCKEYE","Phoenix-Mesa-Scottsdale, AZ","09",,,"2019-01-01 00:00:00"
"734905","04","013","4011","42602","1","1 HOUR","8","NO2 Annual 1971","2020","0","8.117572","8616","98","Y","92016","33.36985","-112.62068","Arizona","Maricopa","Buckeye","26453 W. MC85","BUCKEYE","Phoenix-Mesa-Scottsdale, AZ","09",,,"2020-01-01 00:00:00"
"734905","04","013","4011","42602","1","1 HOUR","8","NO2 Annual 1971","2021","0","8.0462","8658","99","Y","92016","33.36985","-112.62068","Arizona","Maricopa","Buckeye","26453 W. MC85","BUCKEYE","Phoenix-Mesa-Scottsdale, AZ","09",,,"2021-01-01 00:00:00"
"734905","04","013","4011","42602","1","1 HOUR","8","NO2 Annual 1971","2022","0","8.015435","8617","98","Y","92016","33.36985","-112.62068","Arizona","Maricopa","Buckeye","26453 W. MC85","BUCKEYE","Phoenix-Mesa-Scottsdale, AZ","09",,,"2022-01-01 00:00:00"
"734905","04","013","4011","42602","1","1 HOUR","8","NO2 Annual 1971","2023","0","7.88705","7977","91","Y","92016","33.36985","-112.62068","Arizona","Maricopa","Buckeye","26453 W. MC85","BUCKEYE","Phoenix-Mesa-Scottsdale, AZ","09",,,"2023-01-01 00:00:00"
"888145","04","013","4019","42602","1","1 HOUR","8","NO2 Annual 1971","2014","0","20.82893","7570","86","Y","97623","33.39623","-111.96799","Arizona","Maricopa","Tempe","1919 W Fairmont Dr., Tempe, AZ","Diablo","Phoenix-Mesa-Scottsdale, AZ","09",,,"2014-01-01 00:00:00"
"888145","04","013","4019","42602","1","1 HOUR","8","NO2 Annual 1971","2015","0","21.406558","8631","99","Y","97623","33.39623","-111.96799","Arizona","Maricopa","Tempe","1919 W Fairmont Dr., Tempe, AZ","Diablo","Phoenix-Mesa-Scottsdale, AZ","09",,,"2015-01-01 00:00:00"
"888145","04","013","4019","42602","1","1 HOUR","8","NO2 Annual 1971","2016","0","21.469032","8541","97","Y","97623","33.39623","-111.96799","Arizona","Maricopa","Tempe","1919 W Fairmont Dr., Tempe, AZ","Diablo","Phoenix-Mesa-Scottsdale, AZ","09",,,"2016-01-01 00:00:00"
"888145","04","013","4019","42602","1","1 HOUR","8","NO2 Annual 1971","2017","0","21.710014","8628","98","Y","97623","33.39623","-111.96799","Arizona","Maricopa","Tempe","1919 W Fairmont Dr., Tempe, AZ","Diablo","Phoenix-Mesa-Scottsdale, AZ","09",,,"2017-01-01 00:00:00"
"888145","04","013","4019","42602","1","1 HOUR","8","NO2 Annual 1971","2018","0","18.925677","8638","99","Y","97623","33.39623","-111.96799","Arizona","Maricopa","Tempe","1919 W Fairmont Dr., Tempe, AZ","Diablo","Phoenix-Mesa-Scottsdale, AZ","09",,,"2018-01-01 00:00:00"
"888145","04","013","4019","42602","1","1 HOUR","8","NO2 Annual 1971","2019","0","16.82767","8623","98","Y","97623","33.39623","-111.96799","Arizona","Maricopa","Tempe","1919 W Fairmont Dr., Tempe, AZ","Diablo","Phoenix-Mesa-Scottsdale, AZ","09",,,"2019-01-01 00:00:00"
"896635","04","013","4020","42602","1","1 HOUR","8","NO2 Annual 1971","2015","0","31.859244","2856","33","N","99647","33.46173","-112.12796","Arizona","Maricopa","Phoenix","3248 W. Moreland","Thirty-Third","Phoenix-Mesa-Scottsdale, AZ","09",,,"2015-01-01 00:00:00"
